f33,52.0
f32,48.0
f109,45.0
f35,34.0
f107,31.0
f108,30.0
f106,23.0
f50,23.0
f118,21.0
f34,18.0
f190,17.0
f39,17.0
f6,16.0
f112,16.0
f116,15.0
f36,14.0
f68,14.0
f117,14.0
f110,14.0
f114,13.0
f82,12.0
f126,12.0
f49,11.0
f208,11.0
f3,11.0
f41,10.0
f38,10.0
f178,10.0
f194,10.0
f195,10.0
f30,9.0
f187,9.0
f101,9.0
f40,8.0
f16,8.0
f200,7.0
f177,7.0
f198,7.0
f160,7.0
f211,7.0
f133,7.0
f9,6.0
f59,6.0
f24,6.0
f18,6.0
f62,6.0
f201,6.0
f57,6.0
f15,6.0
f204,6.0
f105,5.0
f113,5.0
f1,5.0
f99,5.0
f138,5.0
f139,5.0
f95,5.0
f5,5.0
f121,5.0
f81,5.0
f184,5.0
f196,5.0
f60,5.0
f61,4.0
f7,4.0
f69,4.0
f144,4.0
f197,4.0
f146,4.0
f46,4.0
f115,4.0
f157,4.0
f42,4.0
f71,4.0
f76,4.0
f104,4.0
f44,3.0
f131,3.0
f122,3.0
f51,3.0
f137,3.0
f12,3.0
f14,3.0
f129,3.0
f182,3.0
f0,3.0
f173,3.0
f145,3.0
f166,3.0
f78,3.0
f191,3.0
f70,3.0
f85,3.0
f65,3.0
f87,3.0
f147,3.0
f143,3.0
f140,3.0
f127,3.0
f98,3.0
f186,2.0
f188,2.0
f179,2.0
f162,2.0
f185,2.0
f130,2.0
f170,2.0
f128,2.0
f176,2.0
f100,2.0
f96,2.0
f77,2.0
f20,2.0
f53,2.0
f17,2.0
f74,2.0
f92,2.0
f83,2.0
f94,2.0
f48,2.0
f97,2.0
f111,2.0
f28,2.0
f8,2.0
f45,2.0
f120,2.0
f58,2.0
f125,1.0
f55,1.0
f56,1.0
f183,1.0
f37,1.0
f21,1.0
f29,1.0
f192,1.0
f27,1.0
f180,1.0
f19,1.0
f11,1.0
f10,1.0
f206,1.0
f210,1.0
f4,1.0
f181,1.0
f175,1.0
f66,1.0
f67,1.0
f123,1.0
f119,1.0
f134,1.0
f135,1.0
f142,1.0
f90,1.0
f89,1.0
f88,1.0
f86,1.0
f149,1.0
f150,1.0
f153,1.0
f155,1.0
f156,1.0
f80,1.0
f79,1.0
f75,1.0
f171,1.0
f124,1.0
f73,1.0
f72,1.0
f212,1.0
